num_jobs 5000000 seed 0
rho;ServerFillingSRPT;GreedySRPT;
0.92;24.905103277760183;9.058942145649342;
0.94;29.426280912512237;10.03826096149874;
0.96;61.06962545238328;11.585051073730419;
0.98;338.6465277815132;14.779022435996767;
0.99;665.1624805542222;18.71778293215418;
num_jobs 5000000 seed 19
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.7128454375308;4.592531746283323;
0.7;15.744049726867118;5.219868580093767;
0.75;16.514926374346647;5.64432270447933;
0.8;17.566406707990794;6.197456015839959;
0.83;18.42035659126384;6.620483462542798;
0.86;19.55964706622298;7.1458258929944085;
0.9;21.874281000094406;8.08534789781458;
0.92;23.79798495893326;8.744827242486158;
0.94;27.160875513930808;9.595740273951725;
0.96;38.485036922018715;10.879005764749971;
0.98;187.959813905953;13.11528979871086;
0.99;432.48532552772923;15.479458553564784;
num_jobs 5000000 seed 20
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.774214979518622;4.613173664097944;
0.7;15.818364870594612;5.247783995772007;
0.75;16.602425627997093;5.67792419807957;
0.8;17.696700164414572;6.2385608258368235;
0.83;18.582328851727564;6.676418954699982;
0.86;19.773894248317596;7.225076529333988;
0.9;22.265772331253448;8.206309762498606;
0.92;24.317348501246197;8.894933221516752;
0.94;27.93332068622143;9.839700005057395;
0.96;44.0079948659876;11.236184503975464;
0.98;250.5791038627253;13.612202061665663;
0.99;519.9453354929489;16.056428656260998;
num_jobs 5000000 seed 21
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.845071536040908;4.6411151925049845;
0.7;15.914072906525957;5.28861358288011;
0.75;16.711978148452026;5.728772887475247;
0.8;17.83446559734109;6.304319558647313;
0.83;18.74132655984796;6.740104926198691;
0.86;19.974749129746538;7.293672613209717;
0.9;22.54170064828821;8.301815852401202;
0.92;24.833359085527597;9.031202401682522;
0.94;29.279017226248836;10.0280155015422;
0.96;58.875011055977204;11.565263265691716;
0.98;278.13147556402913;14.551182224143872;
0.99;565.561193526526;19.036187082385283;
num_jobs 5000000 seed 22
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.784709675988054;4.619140330713269;
0.7;15.832904791829842;5.256728981724701;
0.75;16.61456569050973;5.687751484413333;
0.8;17.699082400198286;6.25307107988313;
0.83;18.583219735036128;6.688716717993928;
0.86;19.770665724375753;7.2255245053879795;
0.9;22.274811110325203;8.20091059630954;
0.92;24.358759128442323;8.878928253986023;
0.94;28.054854733760095;9.775814664897306;
0.96;39.74191271595293;11.1974802798394;
0.98;232.49148978701388;13.84050284755415;
0.99;501.7854647525857;16.13950465209284;
num_jobs 5000000 seed 23
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.815871733787132;4.629910551086838;
0.7;15.881307559943343;5.278039415428186;
0.75;16.67937589701543;5.716300809937521;
0.8;17.795045730334245;6.288611422823433;
0.83;18.69621686162788;6.72559675035044;
0.86;19.90759065970331;7.27180145130389;
0.9;22.42715116280067;8.293452493490923;
0.92;24.517774264292424;9.001022348850244;
0.94;28.513076280431765;9.958831692248461;
0.96;44.17309727114696;11.360271586786757;
0.98;231.51695604886942;13.938593450253073;
0.99;493.71463127845067;17.022210950896838;
num_jobs 5000000 seed 24
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.70782318314292;4.597026980370796;
0.7;15.740727838293049;5.228128227647281;
0.75;16.508588618826927;5.658857129406202;
0.8;17.57241797046262;6.215157013007244;
0.83;18.432184751496415;6.639771472685245;
0.86;19.585087614589487;7.169131873174137;
0.9;21.922002286673276;8.128767192918094;
0.92;23.88528923535751;8.7833496816175;
0.94;27.20047588229591;9.653158085812203;
0.96;37.66501022542912;10.94414068676813;
0.98;196.2595243423091;13.150588190331412;
0.99;427.4099023070238;15.361673784066323;
num_jobs 5000000 seed 25
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.808216921368807;4.635528299147435;
0.7;15.865719165142401;5.277296123243713;
0.75;16.66103464278558;5.7162316808225055;
0.8;17.757796326211942;6.2873964896149035;
0.83;18.670808100048568;6.727267112864186;
0.86;19.875861861838697;7.271772877364123;
0.9;22.425035018334473;8.27405328471374;
0.92;24.684845889752783;8.986141072534663;
0.94;28.76927086556233;9.956886825676424;
0.96;51.335648355217536;11.449880364853094;
0.98;311.16783681688696;14.192181668293351;
0.99;632.8849007871896;17.690917841414787;
num_jobs 5000000 seed 26
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.703241085253417;4.585982382020617;
0.7;15.732228285220343;5.213733110794755;
0.75;16.50158677785048;5.641664741816945;
0.8;17.5660754784999;6.193128946660031;
0.83;18.42953235121591;6.61508097303513;
0.86;19.578397621943452;7.142392938546637;
0.9;21.940156001567413;8.103286822017791;
0.92;23.95463954357212;8.763529769808855;
0.94;27.594185463371776;9.660080451387119;
0.96;42.54487830786242;10.968264995593744;
0.98;257.9920603239339;13.485011460017716;
0.99;538.9608293827965;16.42609210643311;
num_jobs 5000000 seed 27
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.81685875449323;4.629735143497079;
0.7;15.877440854403105;5.276085040071764;
0.75;16.67667150695952;5.7148047586249335;
0.8;17.793084408268392;6.286278616495041;
0.83;18.709501511225312;6.727153551496702;
0.86;19.95102888706758;7.2830219218678085;
0.9;22.542930886538873;8.30756836673626;
0.92;24.826262192173825;9.043007673275788;
0.94;29.041280644565983;10.05183447510612;
0.96;47.51620533678645;11.557971560200924;
0.98;288.2558122267149;14.54588072221761;
0.99;594.2719768291369;17.734936433080495;
num_jobs 5000000 seed 28
