E[s] 3.0666666666666664, E[service] 0.8999999999999999, dist [(1, 5.0, 0.3333333333333333), (2, 2.0, 0.3333333333333333), (4, 0.5, 0.3333333333333333)], num_jobs 1000000, num_servers 4
rho,E[T_Q^MG1],ServerFilling min,ServerFilling median,ServerFilling max,FCFS min,FCFS median,FCFS max,PreemptiveFirstFit min,PreemptiveFirstFit median,PreemptiveFirstFit max,MaxWeight min,MaxWeight median,MaxWeight max,LeastServersFirst min,LeastServersFirst median,LeastServersFirst max,MostServersFirst min,MostServersFirst median,MostServersFirst max,PreemptiveBestFit min,PreemptiveBestFit median,PreemptiveBestFit max,
0.95,33.58043478260866,32.659487477808604,35.910266200634894,39.14850577670962,inf,inf,inf,30.556332817427098,33.7682025705936,36.97916423721189,20.362680436700785,22.41606598151866,24.46492764111962,inf,inf,inf,180.62963108899,212.24120160169878,240.33540829137388,30.86159363941519,34.10248746357543,37.30577985072182,
0.96,42.41739130434779,39.77203231574789,44.618395458401295,50.84221662739061,inf,inf,inf,37.58277107208147,42.38773089804674,48.59057685639994,24.80700390367092,27.928163031867147,31.820690852474915,inf,inf,inf,244.93041430408445,294.478456491775,360.83141710954607,37.90650104108289,42.74422022587151,48.94111122216006,
0.97,57.14565217391299,50.64600825101956,59.034837271501345,68.7014163865594,inf,inf,inf,48.39937941161755,56.72532192720927,66.36437736734362,31.672099892815226,37.03815917971398,43.087119743779425,inf,inf,inf,351.9339403795308,443.907900701401,inf,48.74201845632791,57.10170898743833,66.73165209738593,
0.98,86.6021739130434,69.52870752483395,86.37219602946426,101.96377631222433,inf,inf,inf,67.14684176048569,83.97993476157144,99.52656145756823,43.45932904417919,54.20923251380632,63.97426882089568,inf,inf,inf,inf,inf,inf,67.52974996591799,84.38612542204551,99.92570195956344,
0.99,174.97173913043466,105.09559446947856,148.8909284860295,227.58250218102987,inf,inf,inf,102.63645378591805,146.50404627760537,225.30062860167354,65.69003056640985,93.64538599319168,143.09105368576797,inf,inf,inf,inf,inf,inf,103.03753187357005,146.92165128355603,225.72095482512051,
E[s] 0.6517857142857142, E[service] 0.609375, dist [(1, 1.0, 0.5714285714285714), (2, 8.0, 0.2857142857142857), (4, 64.0, 0.14285714285714285)], num_jobs 1000000, num_servers 4
rho,E[T_Q^MG1],ServerFilling min,ServerFilling median,ServerFilling max,FCFS min,FCFS median,FCFS max,PreemptiveFirstFit min,PreemptiveFirstFit median,PreemptiveFirstFit max,MaxWeight min,MaxWeight median,MaxWeight max,LeastServersFirst min,LeastServersFirst median,LeastServersFirst max,MostServersFirst min,MostServersFirst median,MostServersFirst max,PreemptiveBestFit min,PreemptiveBestFit median,PreemptiveBestFit max,
0.7,0.527896689497717,0.9349477948757197,0.9379993548086745,0.9402317768621691,inf,inf,inf,1.189154850401718,1.1914116771947134,1.1963798202860771,1.8148827321715102,1.8209959100620294,1.8262455336781918,2.505518922085047,2.526627425053631,2.550935437966335,0.8327796214421986,0.8349615819173998,0.8365803548267448,1.131771813841331,1.1332367848382454,1.138247040673048,
0.72,0.581763698630137,0.9821785713339657,0.9858068436965748,0.987995817749367,inf,inf,inf,1.2423428911592604,1.2446535859841152,1.2500754618208674,1.930370167392195,1.937433085232912,1.9442129953586416,2.7913497409516874,2.816965256752457,2.856314028054872,0.8641632241036095,0.8666582454881976,0.8681611426338173,1.1767250782610454,1.1784424715359079,1.183853857895647,
0.74,0.6439179399367757,1.0371342128114525,1.041144282291422,1.0440391535631357,inf,inf,inf,1.3031439122901984,1.3057327721878944,1.3119989389016165,2.062626486539872,2.072260763713189,2.0805856487165015,3.168295655245212,3.188469642579791,3.2110616803166696,0.9005048212144025,0.9033607314877657,0.9050632935200891,1.228091367293635,1.2299899949185151,1.2361218810098233,
0.76,0.7164312214611874,1.1015142528771187,1.1062069788516782,1.1104975526510166,inf,inf,inf,1.3734196089319444,1.3774666451715973,1.3840770534841782,2.2159935403991877,2.2282179593727673,2.238329261313739,3.6374839253707134,3.665960753315759,3.6805280135057976,0.9430012598949872,0.9462887997024674,0.9488317632936029,1.287178985727208,1.290729499925407,1.2968577682139792,
0.78,0.8021287359900376,1.178097516617364,1.184700256363687,1.189477123990803,inf,inf,inf,1.4559410251079326,1.4621588908693475,1.4687791497171452,2.397681775567859,2.4131110311207387,2.4221886508049266,4.274347353538627,4.288436809117555,4.3284505933967905,0.9934840216818197,0.9984121389488172,1.0007072919381537,1.356592753544315,1.361852688980681,1.3677382552322936,
0.8,0.9049657534246579,1.2706951551802208,1.2798064443004658,1.2841004849229427,inf,inf,inf,1.5542940362499764,1.562905526288466,1.5692822551540853,2.6132427686051236,2.6368825618985583,2.64326092875891,5.135786480078036,5.182334511228359,5.244198465596384,1.0542672245173557,1.0610108139224148,1.0625251981400048,1.4388425842543715,1.4460567997336093,1.4514744071856038,
0.82,1.0306554414003042,1.3848368985248405,1.3969624244013943,1.4007518027348609,inf,inf,inf,1.6740993576275278,1.6858576652039998,1.6897701666958858,2.879110623776511,2.9082676470690534,2.914677778465935,6.496010278188689,6.560604083229226,6.629531641303914,1.1289121520689294,1.137396676238052,1.1399525547260796,1.538457847987631,1.548689629131237,1.5531826473304107,
0.84,1.187767551369863,1.5271832981472464,1.542502293706173,1.5487522712670898,inf,inf,inf,1.8220891023726833,1.839190271314075,1.8433499216215588,3.2139878251071083,3.241230944496081,3.257595423531433,8.723484422189777,8.882182392841852,9.043076970577685,1.2221373136945344,1.231219201327647,1.2370985505861554,1.6614049033186515,1.6751772857394531,1.6806859204559559,
